Article Date,Advisor Name,Stock Name,Company Code,Call,Price on Article Day,Target Price,Today's Price,Time to reach target,Arbitrage %,Today P/L %,Article URL
2024-07-04 12:09:00,Sharekhan,Federal Bank,FEDERALBNK,Buy,175.02,220,187.55,Not reached yet.,34.269148611534945,14.464449191333548,https://www.moneycontrol.com/news/business/stocks/buy-federal-bank-target-of-rs-220-sharekhan-12762091.html
2024-07-04 12:23:00,Prabhudas Lilladher,Nazara Technologies,NAZARA,Hold,924.7,878,923.4,Call type not supported.,40.6037312835295,47.87412923372567,https://www.moneycontrol.com/news/business/stocks/hold-nazara-technologies-target-of-rs-878-prabhudas-lilladher-12762103.html
2024-07-04 12:44:00,Asit C Mehta,City Union Bank,CUB,Buy,166.71,205,153.9,Not reached yet.,33.89941214892227,0.5225342913128749,https://www.moneycontrol.com/news/business/stocks/buy-city-union-bank-target-of-rs-205-asit-c-mehta-12762127.html
2024-07-05 12:22:00,ICICI Securities,Nazara Technologies,NAZARA,Buy,912.5,1080,923.4,83,74.33414043583535,49.05569007263922,https://www.moneycontrol.com/news/business/stocks/buy-nazara-technologies-target-of-rs-1080-icici-securities-3-12762844.html
2024-07-05 12:29:00,Sharekhan,Bajaj Finance,BAJFINANCE,Buy,7258.8,9300,7302.0,Not reached yet.,37.923874919359015,8.292487597974144,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-9300-sharekhan-2-12762931.html
2024-07-08 11:28:00,Sharekhan,Asian Paints,ASIANPAINT,Buy,2898.15,3385,3037.2,Not reached yet.,17.749369510392206,5.65092616749282,https://www.moneycontrol.com/news/business/stocks/buy-asian-paints-target-of-rs-3385-sharekhan-12764240.html
2024-07-08 12:21:00,Geojit Financial Services,Sobha,SOBHA,Sell,2023.5,1714,1709.1,52,11.951300952919123,12.203015436776008,https://www.moneycontrol.com/news/business/stocks/sell-sobha-target-of-rs-1714-geojit-financial-services-12764304.html
2024-07-08 12:34:00,Asit C Mehta,Time Technoplast,TIMETECHNO,Accumulate,318.05,426,394.85,77,57.77777777777777,46.24074074074075,https://www.moneycontrol.com/news/business/stocks/accumulate-time-technoplast-target-of-rs-426-asit-c-mehta-12764330.html
2024-07-08 12:40:00,CD Equisearch,MM Forgings,MMFL,Accumulate,1297.05,1410,571.25,Not reached yet.,150.14192449616806,1.3429605449900743,https://www.moneycontrol.com/news/business/stocks/accumulate-mm-forgings-target-of-rs-1410-cd-equisearch-12764340.html
2024-07-08 12:57:00,Emkay Global Financial,Marico,MARICO,Reduce,641.3,630,685.5,0,-4.304635761589404,-13.493377483443709,https://www.moneycontrol.com/news/business/stocks/reduce-marico-target-of-rs-630-emkay-global-financial-12764360.html
2024-07-08 13:35:00,Emkay Global Financial,Dabur India,DABUR,Buy,623.45,700,570.85,Not reached yet.,25.4255509765275,2.28453682135818,https://www.moneycontrol.com/news/business/stocks/buy-dabur-india-target-of-rs-700-emkay-global-financial-12764354.html
2024-07-08 13:43:00,Emkay Global Financial,Honasa Consumer,HONASA,Buy,461.8,525,429.55,72,21.922898281467713,-0.24384579656293806,https://www.moneycontrol.com/news/business/stocks/buy-honasa-consumer-target-of-rs-525-emkay-global-financial-12764352.html
2024-07-08 13:59:00,Emkay Global Financial,Man Industries,MANINDS,Buy,483.75,500,352.05,Not reached yet.,37.061403508771924,-3.4950657894736845,https://www.moneycontrol.com/news/business/stocks/buy-man-industries-target-of-rs-500-emkay-global-financial-12764350.html
2024-07-09 10:54:00,Sharekhan,Dabur India,DABUR,Buy,630.2,715,570.85,Not reached yet.,26.013394430736696,0.6080366584420243,https://www.moneycontrol.com/news/business/stocks/buy-dabur-india-target-of-rs-715-sharekhan-12765017.html
2024-07-09 11:48:00,Motilal Oswal,VRL Logistics,VRLLOG,Buy,584.9,670,575.35,Not reached yet.,18.973630471455213,2.166385510077252,https://www.moneycontrol.com/news/business/stocks/buy-vrl-logistics-target-of-rs-670-motilal-oswal-12765072.html
2024-07-10 14:13:00,Emkay Global Financial,HG Infra Engineering,HGINFRA,Buy,1699.25,2100,1484.8,Not reached yet.,43.50633819660369,1.4658147401510266,https://www.moneycontrol.com/news/business/stocks/buy-hg-infra-engineering-target-of-rs-2100-emkay-global-financial-12765919.html
2024-07-11 11:55:00,ICICI Securities,Lupin,LUPIN,Reduce,1817.3,1615,2224.5,0,-0.8461082144306693,-38.90536701114615,https://www.moneycontrol.com/news/business/stocks/reduce-lupin-target-of-rs-1615-icici-securities-12766709.html
2024-07-11 14:19:00,Motilal Oswal,Hindalco,HINDALCO,Buy,696.3,800,747.35,Not reached yet.,13.426910534524323,5.962001984970945,https://www.moneycontrol.com/news/business/stocks/buy-hindalco-target-of-rs-800-motilal-oswal-12766876.html
2024-07-12 12:40:00,Prabhudas Lilladher,Tata Consultancy Services,TCS,Accumulate,4183.95,4370,4149.2,39,16.96689060785311,11.056984556087897,https://www.moneycontrol.com/news/business/stocks/accumulate-tata-consultancy-services-target-of-rs-4370-prabhudas-lilladher-12767599.html
2024-07-12 12:53:00,Sharekhan,Tata Consultancy Services,TCS,Buy,4183.95,4750,4149.2,Not reached yet.,27.13792457375338,11.056984556087897,https://www.moneycontrol.com/news/business/stocks/buy-tata-consultancy-services-target-of-rs-4750-sharekhan-3-12767617.html
2024-07-12 13:06:00,Emkay Global Financial,TCS,TCS,Reduce,4183.95,3950,4149.2,0,-5.725221487647549,-11.056984556087897,https://www.moneycontrol.com/news/business/stocks/reduce-tcs-target-of-rs-3950-emkay-global-financial-2-12767630.html
2024-07-12 15:29:00,Emkay Global Financial,Go Fashion,GOCOLORS,Buy,1019.85,1350,1263.5,83,37.93103448275862,29.09323116219668,https://www.moneycontrol.com/news/business/stocks/buy-go-fashion-target-of-rs-1350-emkay-global-financial-12767801.html
2024-07-12 15:29:00,Emkay Global Financial,Go Fashion,GOCOLORS,Buy,1081.35,1350,1263.5,83,37.93103448275862,29.09323116219668,https://www.moneycontrol.com/news/business/stocks/buy-go-fashion-target-of-rs-1350-emkay-global-financial-12767801.html
2024-07-15 12:58:00,Sharekhan,HCL Technologies,HCLTECH,Buy,1569.6,1805,1839.65,61,38.46802961144567,41.12615549844656,https://www.moneycontrol.com/news/business/stocks/buy-hcl-technologies-target-of-rs-1805-sharekhan-12769381.html
2024-07-15 13:20:00,Emkay Global Financial,Gulf Oil Lubricants,GULFOILLUB,Buy,1236.4,1500,1313.45,Not reached yet.,70.42549565414986,49.23024484462877,https://www.moneycontrol.com/news/business/stocks/buy-gulf-oil-lubricants-target-of-rs-1500-emkay-global-financial-12769413.html
2024-07-15 13:29:00,Prabhudas Lilladher,Avenue Supermarts,DMART,Accumulate,4988.85,5104,4572.7,34,12.2066501786205,0.5265182742511639,https://www.moneycontrol.com/news/business/stocks/accumulate-avenue-supermarts-target-of-rs-5104-prabhudas-lilladher-12769421.html
2024-07-15 13:38:00,Prabhudas Lilladher,HCL Technologie,HCLTECH,Buy,1569.6,1790,1839.65,61,37.317325764259145,41.12615549844656,https://www.moneycontrol.com/news/business/stocks/buy-hcl-technologie-target-of-rs-1790-prabhudas-lilladher-12769425.html
2024-07-15 15:12:00,ICICI Securities,HCL Technologies,HCLTECH,Reduce,1569.6,1455,1839.65,0,-11.618273177093325,-41.12615549844656,https://www.moneycontrol.com/news/business/stocks/reduce-hcl-technologies-target-of-rs-1455-icici-securities-12769555.html
2024-07-15 15:26:00,ICICI Securities,Aadhar Housing Finance,AADHARHFC,Buy,445.85,550,440.9,Not reached yet.,64.2281277993431,31.651239175873396,https://www.moneycontrol.com/news/business/stocks/buy-aadhar-housing-finance-target-of-rs-550-icici-securities-12769568.html
2024-07-15 15:32:00,Anand Rathi,Affle India,AFFLE,Buy,1425.75,1700,1619.4,56,56.2930955226625,48.88296405258803,https://www.moneycontrol.com/news/business/stocks/buy-affle-india-target-of-rs-1700-anand-rathi-12769576.html
2024-07-16 10:34:00,KR Choksey,TCS,TCS,Accumulate,4178.45,4587,4149.2,Not reached yet.,22.435905991004823,10.750176834069586,https://www.moneycontrol.com/news/business/stocks/accumulate-tcs-target-of-rs-4587-kr-choksey-12770107.html
2024-07-16 10:48:00,Motilal Oswal,Varun Beverages,VBL,Buy,1599.0,1900,592.35,Not reached yet.,217.9384203480589,-0.8785140562248996,https://www.moneycontrol.com/news/business/stocks/buy-varun-beverages-target-of-rs-1900-motilal-oswal-12770119.html
2024-07-16 12:36:00,Motilal Oswal,HDFC Life Insurance,HDFCLIFE,Buy,646.75,750,723.85,61,35.88187335809402,31.144125373675145,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-life-insurance-target-of-rs-750-motilal-oswal-12770169.html
2024-07-16 12:51:00,Emkay Global Financial,HDFC Life Insurance,HDFCLIFE,Buy,646.75,750,723.85,61,35.88187335809402,31.144125373675145,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-life-insurance-target-of-rs-750-emkay-global-financial-12770315.html
2024-07-16 13:01:00,ICICI Securities,Hatsun Agro Products,HATSUN,Buy,1234.45,1400,1145.25,Not reached yet.,37.3828565821108,12.38408321475885,https://www.moneycontrol.com/news/business/stocks/buy-hatsun-agro-products-target-of-rs-1400-icici-securities-12770337.html
2024-07-16 13:12:00,ICICI Securities,HDFC Life Insurance Company,HDFCLIFE,Buy,646.75,739,723.85,56,33.88893921550864,31.144125373675145,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-life-insurance-company-target-of-rs-739-icici-securities-2-12770357.html
2024-07-16 14:27:00,Prabhudas Lilladher,HDFC Asset Management Company,HDFCAMC,Buy,4087.85,4700,4449.4,Not reached yet.,26.84190640686565,20.07880390781021,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-asset-management-company-target-of-rs-4700-prabhudas-lilladher-12770453.html
2024-07-16 15:16:00,Sharekhan,HDFC Life Insurance Company,HDFCLIFE,Buy,646.75,750,723.85,61,35.88187335809402,31.144125373675145,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-life-insurance-company-target-of-rs-750-sharekhan-4-12770514.html
2024-07-17 12:19:00,Emkay Global Financial,Bajaj Auto,BAJAJ-AUTO,Reduce,9718.35,8300,11876.95,Not reached yet.,14.445778723799027,-22.424482938117496,https://www.moneycontrol.com/news/business/stocks/reduce-bajaj-auto-target-of-rs-8300-emkay-global-financial-12771000.html
2024-07-17 12:45:00,Religare Retail Research,HDFC Life Insurance Company,HDFCLIFE,Buy,646.75,742,723.85,56,33.63349842413327,30.36470058532193,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-life-insurance-company-target-of-rs-742-religare-retail-research-12771041.html
2024-07-17 13:04:00,Motilal Oswal,360 One WAM,360ONE,Buy,980.75,1150,1056.9,Not reached yet.,45.25704180876594,33.49753694581281,https://www.moneycontrol.com/news/business/stocks/buy-360-one-wam-target-of-rs-1150-motilal-oswal-12771086.html
2024-07-17 13:14:00,Sharekhan,Bajaj Auto,BAJAJ-AUTO,Buy,9718.35,11400,11876.95,66,17.50820753598688,22.424482938117496,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-auto-target-of-rs-11400-sharekhan-12771098.html
2024-07-17 13:14:00,Sharekhan,Bajaj Auto,BAJAJ-AUTO,Buy,9673.35,11400,11876.95,66,17.50820753598688,22.424482938117496,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-auto-target-of-rs-11400-sharekhan-12771098.html
2024-07-18 12:51:00,KR Choksey,HDFC Life Insurance Co,HDFCLIFE,Buy,638.05,765,723.85,Not reached yet.,35.89128697042365,28.58157918109956,https://www.moneycontrol.com/news/business/stocks/buy-hdfc-life-insurance-co-target-of-rs-765-kr-choksey-12771777.html
2024-07-18 13:07:00,Geojit Financial Services,Tata Consultancy Services,TCS,Buy,4178.45,4821,4149.2,Not reached yet.,23.807444882445854,6.55504051156281,https://www.moneycontrol.com/news/business/stocks/buy-tata-consultancy-services-target-of-rs-4821-geojit-financial-services-12771854.html
