Article Date,Advisor Name,Stock Name,Company Code,Buy/Sell/Hold,Price on Article Day,Target Price,Today's Price,Time to reach target,Article URL
,Prabhudas Lilladher,HDFC Bank,HDFCBANK,buy,,2000,,,https://m.moneycontrol.com/news/recommendations/buy-hdfc-bank-targetrs-2000-prabhudas-lilladher_.html
,ICICI Securities,Ambuja Cements,AMBUJACEM,buy,,831,,,https://m.moneycontrol.com/news/recommendations/buy-ambuja-cement-targetrs-831-icici-securities_.html
,Sharekhan,Godrej Consumer,GODREJCP,buy,,1455,,,https://m.moneycontrol.com/news/recommendations/buy-godrej-consumer-products-targetrs-1455-sharekhan_.html
,Sharekhan,Aditya Birla F,ABFRL,buy,,297,,,https://m.moneycontrol.com/news/recommendations/buy-aditya-birla-fashionretail-targetrs-297-sharekhan_.html
,ICICI Securities,INDUS TOWERS,INDUSTOWER,buy,,260,,,https://m.moneycontrol.com/news/recommendations/sell-indus-tower-targetrs-260-icici-securities_.html
,ICICI Securities,Wipro,WIPRO,buy,,410,,,https://m.moneycontrol.com/news/recommendations/reduce-wipro-targetrs-410-icici-securities_.html
,Motilal Oswal,Hind Zinc,HINDZINC,buy,,490,,,https://m.moneycontrol.com/news/recommendations/neutral-hindustan-zinc-targetrs-490-motilal-oswal_.html
,KR Choksey,Bandhan Bank,BANDHANBNK,buy,,193,,,https://m.moneycontrol.com/news/recommendations/hold-bandhan-bank-targetrs-193-kr-choksey_.html
,ICICI Securities,ABB India,ABB,buy,,5330,,,https://m.moneycontrol.com/news/recommendations/sell-abb-india-targetrs-5330-icici-securities_.html
,Motilal Oswal,ABB India,ABB,buy,,7500,,,https://m.moneycontrol.com/news/recommendations/buy-abb-india-targetrs-7500-motilal-oswal_.html
,Emkay Global Financial,Bajaj Finance,BAJFINANCE,buy,,9000,,,https://m.moneycontrol.com/news/recommendations/buy-bajaj-finance-targetrs-9000-emkay-global-financial_.html
,Motilal Oswal,Cyient DLM,CYIENTDLM,buy,,810,,,https://m.moneycontrol.com/news/recommendations/buy-cyient-dlm-targetrs-810-motilal-oswal_.html
,Sharekhan,Metro Brands,METROBRAND,buy,,679,,,https://m.moneycontrol.com/news/recommendations/buy-indian-hotels-company-targetrs-679-sharekhan_.html
,KR Choksey,Glenmark,GLENMARK,buy,,1266,,,https://m.moneycontrol.com/news/recommendations/buy-glenmark-pharmaceuticals-targetrs-1266-kr-choksey_.html
,Sharekhan,Metro Brands,METROBRAND,buy,,679,,,https://m.moneycontrol.com/news/recommendations/buy-indian-hotels-company-targetrs-679-sharekhan_.html
,Sharekhan,Persistent,PERSISTENT,buy,,4150,,,https://m.moneycontrol.com/news/recommendations/buy-persistent-systems-targetrs-4150-sharekhan_.html
